"Step","likely-pyramid-31 - loss","likely-pyramid-31 - loss__MIN","likely-pyramid-31 - loss__MAX"
"0","717.4954223632812","717.4954223632812","717.4954223632812"
"1","937.386474609375","937.386474609375","937.386474609375"
"2","736.0586547851562","736.0586547851562","736.0586547851562"
"3","726.031494140625","726.031494140625","726.031494140625"
"4","603.0819091796875","603.0819091796875","603.0819091796875"
"5","481.35040283203125","481.35040283203125","481.35040283203125"
"6","672.8472900390625","672.8472900390625","672.8472900390625"
"7","581.3050537109375","581.3050537109375","581.3050537109375"
"8","444.7496337890625","444.7496337890625","444.7496337890625"
"9","527.7173461914062","527.7173461914062","527.7173461914062"
"10","551.3265380859375","551.3265380859375","551.3265380859375"
"11","340.096923828125","340.096923828125","340.096923828125"
"12","412.52239990234375","412.52239990234375","412.52239990234375"
"13","609.319580078125","609.319580078125","609.319580078125"
"14","507.072509765625","507.072509765625","507.072509765625"
"15","412.3338317871094","412.3338317871094","412.3338317871094"
"16","410.3321533203125","410.3321533203125","410.3321533203125"
"17","491.1788330078125","491.1788330078125","491.1788330078125"
"18","547.6428833007812","547.6428833007812","547.6428833007812"
"19","318.2602233886719","318.2602233886719","318.2602233886719"
"20","749.4557495117188","749.4557495117188","749.4557495117188"
"21","452.54339599609375","452.54339599609375","452.54339599609375"
"22","371.2331237792969","371.2331237792969","371.2331237792969"
"23","362.859130859375","362.859130859375","362.859130859375"
"24","360.84039306640625","360.84039306640625","360.84039306640625"
"25","352.4707946777344","352.4707946777344","352.4707946777344"
"26","497.8480529785156","497.8480529785156","497.8480529785156"
"27","451.08795166015625","451.08795166015625","451.08795166015625"
"28","306.2373352050781","306.2373352050781","306.2373352050781"
"29","386.00628662109375","386.00628662109375","386.00628662109375"
"30","412.9263916015625","412.9263916015625","412.9263916015625"
"31","520.58251953125","520.58251953125","520.58251953125"
"32","351.08062744140625","351.08062744140625","351.08062744140625"
"33","349.1016540527344","349.1016540527344","349.1016540527344"
"34","331.8507995605469","331.8507995605469","331.8507995605469"
"35","346.2471008300781","346.2471008300781","346.2471008300781"
"36","315.93902587890625","315.93902587890625","315.93902587890625"
"37","299.8356628417969","299.8356628417969","299.8356628417969"
"38","323.6131896972656","323.6131896972656","323.6131896972656"
"39","241.97080993652344","241.97080993652344","241.97080993652344"
"40","254.82156372070312","254.82156372070312","254.82156372070312"
"41","661.2511596679688","661.2511596679688","661.2511596679688"
"42","269.6783447265625","269.6783447265625","269.6783447265625"
"43","285.58868408203125","285.58868408203125","285.58868408203125"
"44","397.861572265625","397.861572265625","397.861572265625"
"45","237.638916015625","237.638916015625","237.638916015625"
"46","386.4355163574219","386.4355163574219","386.4355163574219"
"47","290.709716796875","290.709716796875","290.709716796875"
"48","259.4183349609375","259.4183349609375","259.4183349609375"
"49","430.0716552734375","430.0716552734375","430.0716552734375"
"50","357.6719665527344","357.6719665527344","357.6719665527344"
"51","209.34774780273438","209.34774780273438","209.34774780273438"
"52","330.728759765625","330.728759765625","330.728759765625"
"53","214.1627655029297","214.1627655029297","214.1627655029297"
"54","249.0283203125","249.0283203125","249.0283203125"
"55","278.52496337890625","278.52496337890625","278.52496337890625"
"56","288.3619079589844","288.3619079589844","288.3619079589844"
"57","294.4274597167969","294.4274597167969","294.4274597167969"
"58","280.2207336425781","280.2207336425781","280.2207336425781"
"59","198.08941650390625","198.08941650390625","198.08941650390625"
"60","292.10565185546875","292.10565185546875","292.10565185546875"
"61","294.4603271484375","294.4603271484375","294.4603271484375"
